sender,sender_type,sender_id,timestamp,meta,"",age,applies,consent,response,correctResponse,correct,duration,educational_level,ended_on,example_1,example_2,fb_attention,fb_confidence,fb_difficulty,fb_strategy_text,fb_strategy_used,gender,occupation,response_action,task_id,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Confidence Check,html.Page,4_3_0_1,2025-11-07T07:42:18.126Z,,,,y,,f,,,89.5,,response,attraction_color.t35.combined.png,attraction_color.t28.combined.png,,,,,,,,keypress(f),p4,14329.69999999553,14329,14233.8,14236.39999999851,14239.5,14337.5,
Application Sequence,flow.Sequence,4_3_0,2025-11-07T07:42:18.126Z,,,,y,,,,,186.39999999999964,,completion,attraction_color.t35.combined.png,attraction_color.t28.combined.png,,,,,,,,,p4,14329.89999999851,14329,14136.8,14139.60000000149,14142.6,14337.5,
Application Decision,html.Page,4_3_1_0,2025-11-07T07:42:18.226Z,,,,y,,y,y,true,91.39999999850988,,response,attraction_color.t27.combined.png,attraction_color.t30.combined.png,,,,,,,,keypress(j),p6,14429.60000000149,14428.89999999851,14325.5,14330,14337.5,14434.3,
Confidence Check,html.Page,4_3_1_1,2025-11-07T07:42:18.312Z,,,,y,,f,,,80.89999999553038,,response,attraction_color.t27.combined.png,attraction_color.t30.combined.png,,,,,,,,keypress(f),p6,14515.69999999553,14515.19999999553,14428.3,14429.79999999702,14434.3,14519.6,
Application Sequence,flow.Sequence,4_3_1,2025-11-07T07:42:18.312Z,,,,y,,,,,177.69999999552965,,completion,attraction_color.t27.combined.png,attraction_color.t30.combined.png,,,,,,,,,p6,14515.79999999702,14515.19999999553,14325.5,14329.89999999851,14337.5,14519.6,
Application Decision,html.Page,4_3_2_0,2025-11-07T07:42:18.401Z,,,,n,,y,n,false,84.1999999970194,,response,attraction_gravity.t30.combined.png,attraction_gravity.t31.combined.png,,,,,,,,keypress(j),p5,14604.69999999553,14603.79999999702,14514.2,14515.89999999851,14519.6,14611.4,
Confidence Check,html.Page,4_3_2_1,2025-11-07T07:42:18.497Z,,,,n,,f,,,88.60000000000036,,response,attraction_gravity.t30.combined.png,attraction_gravity.t31.combined.png,,,,,,,,keypress(f),p5,14700.60000000149,14700,14602.93,14604.79999999702,14611.4,14702.9,
Application Sequence,flow.Sequence,4_3_2,2025-11-07T07:42:18.497Z,,,,n,,,,,180.39999999999964,,completion,attraction_gravity.t30.combined.png,attraction_gravity.t31.combined.png,,,,,,,,,p5,14700.89999999851,14700,14514.2,14515.89999999851,14519.6,14702.9,
Application Block,flow.Loop,4_3,2025-11-07T07:42:18.498Z,,,,,,,,,557.3999999999996,,completion,,,,,,,,,,,,14701,14700,14136.8,14139.5,14142.6,14702.9,
Practice Sequence,flow.Sequence,4,2025-11-07T07:42:18.498Z,,,,,,,,,3135.2000000000007,,completion,,,,,,,,,,,,14701.19999999553,14700,11559.4,11556.39999999851,11564.8,14702.9,
Practice Finished,html.Page,5,2025-11-07T07:42:19.792Z,,,,,,,,,1292.29999999553,,form submission,,,,,,,,,,,,15995.19999999553,15995.19999999553,14697.1,14701.19999999553,14702.9,16005.6,
First Example,html.Page,6_0_0,2025-11-07T07:42:20.831Z,,,,,,f,,,1027.8999999999996,,response,,,,,,,,,,keypress(f),,17034.19999999553,17033.5,15999.9,15995.29999999702,16005.6,17042,
Inference Decision,html.Page,6_0_1_0_0,2025-11-07T07:42:21.186Z,,,,n,,y,n,false,347.1000000014901,,response,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,keypress(j),0,17389.39999999851,17389.10000000149,17028.9,17034.5,17042,17394.5,
Confidence Check,html.Page,6_0_1_0_1,2025-11-07T07:42:21.228Z,,,,n,,f,,,36.600000001490116,,response,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,keypress(f),0,17431.39999999851,17431.10000000149,17388.8,17389.39999999851,17394.5,17434.5,
Inference Sequence,flow.Sequence,6_0_1_0,2025-11-07T07:42:21.228Z,,,,n,,,,,389.1000000014901,,completion,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,,0,17431.5,17431.10000000149,17028.9,17034.5,17042,17434.5,
Inference Decision,html.Page,6_0_1_1_0,2025-11-07T07:42:21.449Z,,,,y,,y,y,true,216.79999999701977,,response,expansion_star_step.t2.combined.png,expansion_star_step.t3.combined.png,,,,,,,,keypress(j),1,17652.10000000149,17651.29999999702,17428.8,17431.5,17434.5,17657.5,
Confidence Check,html.Page,6_0_1_1_1,2025-11-07T07:42:21.461Z,,,,y,,f,,,6.5,,response,expansion_star_step.t2.combined.png,expansion_star_step.t3.combined.png,,,,,,,,keypress(f),1,17664.19999999553,17664,17651.7,17652.29999999702,17657.5,17668.9,
Inference Sequence,flow.Sequence,6_0_1_1,2025-11-07T07:42:21.461Z,,,,y,,,,,229.5,,completion,expansion_star_step.t2.combined.png,expansion_star_step.t3.combined.png,,,,,,,,,1,17664.39999999851,17664,17428.8,17431.5,17434.5,17668.9,
Inference Decision,html.Page,6_0_1_2_0,2025-11-07T07:42:21.638Z,,,,n,,y,n,false,172.09999999999854,,response,expansion_plus_full.t1.combined.png,expansion_plus_full.t2.combined.png,,,,,,,,keypress(j),2,17841.69999999553,17841,17663.3,17664.5,17668.9,17846.4,
Confidence Check,html.Page,6_0_1_2_1,2025-11-07T07:42:21.655Z,,,,n,,f,,,11.200000001488661,,response,expansion_plus_full.t1.combined.png,expansion_plus_full.t2.combined.png,,,,,,,,keypress(f),2,17858.29999999702,17857.60000000149,17840.5,17841.79999999702,17846.4,17869,
Inference Sequence,flow.Sequence,6_0_1_2,2025-11-07T07:42:21.655Z,,,,n,,,,,188.70000000148866,,completion,expansion_plus_full.t1.combined.png,expansion_plus_full.t2.combined.png,,,,,,,,,2,17858.39999999851,17857.60000000149,17663.3,17664.5,17668.9,17869,
Inference Decision,html.Page,6_0_1_3_0,2025-11-07T07:42:21.852Z,,,,y,,y,y,true,186.10000000149012,,response,expansion_plus_full.t3.combined.png,expansion_plus_full.t4.combined.png,,,,,,,,keypress(j),3,18055.79999999702,18055.10000000149,17863.5,17858.5,17869,18057.7,
Confidence Check,html.Page,6_0_1_3_1,2025-11-07T07:42:21.904Z,,,,y,,f,,,49.40000000148939,,response,expansion_plus_full.t3.combined.png,expansion_plus_full.t4.combined.png,,,,,,,,keypress(f),3,18107.5,18107.10000000149,18052.326,18055.89999999851,18057.7,18114.7,
Inference Sequence,flow.Sequence,6_0_1_3,2025-11-07T07:42:21.904Z,,,,y,,,,,238.10000000149012,,completion,expansion_plus_full.t3.combined.png,expansion_plus_full.t4.combined.png,,,,,,,,,3,18107.69999999553,18107.10000000149,17863.5,17858.39999999851,17869,18114.7,
Inference Decision,html.Page,6_0_1_4_0,2025-11-07T07:42:22.113Z,,,,y,,y,y,true,201.19999999850916,,response,expansion_plus_full.t5.combined.png,expansion_plus_full.t6.combined.png,,,,,,,,keypress(j),4,18316.60000000149,18315.89999999851,18107.698,18107.89999999851,18114.7,18320.7,
Confidence Check,html.Page,6_0_1_4_1,2025-11-07T07:42:22.127Z,,,,y,,f,,,9.699999998509156,,response,expansion_plus_full.t5.combined.png,expansion_plus_full.t6.combined.png,,,,,,,,keypress(f),4,18330.79999999702,18330.39999999851,18314.7,18316.60000000149,18320.7,18332,
Inference Sequence,flow.Sequence,6_0_1_4,2025-11-07T07:42:22.127Z,,,,y,,,,,215.69999999850916,,completion,expansion_plus_full.t5.combined.png,expansion_plus_full.t6.combined.png,,,,,,,,,4,18330.89999999851,18330.39999999851,18107.698,18107.79999999702,18114.7,18332,
Inference Block,flow.Loop,6_0_1,2025-11-07T07:42:22.128Z,,,,,,,,,1288.3999999985099,,completion,,,,,,,,,,,,18331,18330.39999999851,17028.9,17034.39999999851,17042,18332,
Rule Reminder,html.Page,6_0_2,2025-11-07T07:42:22.374Z,,,,,,f,,false,244.60000000149012,,response,,,,,,,,,,keypress(f),,18577.10000000149,18576.60000000149,18326.2,18331.10000000149,18332,18583.4,
Application Decision,html.Page,6_0_3_0_0,2025-11-07T07:42:22.592Z,,,,y,,y,y,true,211.20000000148866,,response,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,keypress(j),5,18795.60000000149,18794.60000000149,18577.9,18577.39999999851,18583.4,18800.7,
Confidence Check,html.Page,6_0_3_0_1,2025-11-07T07:42:22.610Z,,,,y,,f,,,11.999999995528924,,response,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,keypress(f),5,18813,18812.69999999553,18795.1,18795.69999999553,18800.7,18823.5,
Application Sequence,flow.Sequence,6_0_3_0,2025-11-07T07:42:22.610Z,,,,y,,,,,229.2999999955282,,completion,expansion_star_step.t1.combined.png,expansion_star_step.t4.combined.png,,,,,,,,,5,18813.19999999553,18812.69999999553,18577.9,18577.39999999851,18583.4,18823.5,
Application Decision,html.Page,6_0_3_1_0,2025-11-07T07:42:22.818Z,,,,n,,y,n,false,197.10000000149012,,response,expansion_diagonal_full.t2.combined.png,expansion_diagonal_full.t4.combined.png,,,,,,,,keypress(j),9,19021.19999999553,19020.60000000149,18817.8,18813.19999999553,18823.5,19023.7,
Confidence Check,html.Page,6_0_3_1_1,2025-11-07T07:42:22.856Z,,,,n,,f,,,35.29999999999927,,response,expansion_diagonal_full.t2.combined.png,expansion_diagonal_full.t4.combined.png,,,,,,,,keypress(f),9,19059.5,19059,19017.9,19021.19999999553,19023.7,19063.6,
Application Sequence,flow.Sequence,6_0_3_1,2025-11-07T07:42:22.856Z,,,,n,,,,,235.5,,completion,expansion_diagonal_full.t2.combined.png,expansion_diagonal_full.t4.combined.png,,,,,,,,,9,19059.60000000149,19059,18817.8,18813.19999999553,18823.5,19063.6,
Application Decision,html.Page,6_0_3_2_0,2025-11-07T07:42:23.072Z,,,,y,,y,y,true,211.69999999702122,,response,expansion_star_full.t3.combined.png,expansion_star_full.t4.combined.png,,,,,,,,keypress(j),8,19275.69999999553,19275.29999999702,19057.7,19059.79999999702,19063.6,19280.8,
Confidence Check,html.Page,6_0_3_2_1,2025-11-07T07:42:23.096Z,,,,y,,f,,,18.300000001490844,,response,expansion_star_full.t3.combined.png,expansion_star_full.t4.combined.png,,,,,,,,keypress(f),8,19299.39999999851,19299.10000000149,19275.1,19275.69999999553,19280.8,19303.5,
Application Sequence,flow.Sequence,6_0_3_2,2025-11-07T07:42:23.096Z,,,,y,,,,,235.50000000149157,,completion,expansion_star_full.t3.combined.png,expansion_star_full.t4.combined.png,,,,,,,,,8,19299.5,19299.10000000149,19057.7,19059.69999999553,19063.6,19303.5,
Application Decision,html.Page,6_0_3_3_0,2025-11-07T07:42:23.317Z,,,,n,,y,n,false,215.89999999850988,,response,expansion_plus_step.t1.combined.png,expansion_plus_step.t2.combined.png,,,,,,,,keypress(j),7,19520.19999999553,19519.39999999851,19298.1,19299.5,19303.5,19532.2,
Confidence Check,html.Page,6_0_3_3_1,2025-11-07T07:42:23.334Z,,,,n,,f,,,5.299999999999272,,response,expansion_plus_step.t1.combined.png,expansion_plus_step.t2.combined.png,,,,,,,,keypress(f),7,19537.79999999702,19537.5,19526.8,19520.29999999702,19532.2,19543.8,
Application Sequence,flow.Sequence,6_0_3_3,2025-11-07T07:42:23.334Z,,,,n,,,,,234,,completion,expansion_plus_step.t1.combined.png,expansion_plus_step.t2.combined.png,,,,,,,,,7,19538,19537.5,19298.1,19299.5,19303.5,19543.8,
Application Decision,html.Page,6_0_3_4_0,2025-11-07T07:42:23.572Z,,,,n,,y,n,false,230.89999999553038,,response,expansion_diagonal_full.t1.combined.png,expansion_diagonal_full.t3.combined.png,,,,,,,,keypress(j),6,19775.29999999702,19774.69999999553,19537.9,19538.10000000149,19543.8,19778.1,
Confidence Check,html.Page,6_0_3_4_1,2025-11-07T07:42:23.587Z,,,,n,,f,,,12.299999998511339,,response,expansion_diagonal_full.t1.combined.png,expansion_diagonal_full.t3.combined.png,,,,,,,,keypress(f),6,19790.69999999553,19790.39999999851,19772.3,19775.39999999851,19778.1,19800.8,
Application Sequence,flow.Sequence,6_0_3_4,2025-11-07T07:42:23.587Z,,,,n,,,,,246.5999999985106,,completion,expansion_diagonal_full.t1.combined.png,expansion_diagonal_full.t3.combined.png,,,,,,,,,6,19790.79999999702,19790.39999999851,19537.9,19538.10000000149,19543.8,19800.8,
Application Block,flow.Loop,6_0_3,2025-11-07T07:42:23.587Z,,,,,,,,,1206.9999999985084,,completion,,,,,,,,,,,,19790.79999999702,19790.39999999851,18577.9,18577.39999999851,18583.4,19800.8,
Expansion Sequence,flow.Sequence,6_0,2025-11-07T07:42:23.587Z,,,,,,,,,3784.7999999985095,,completion,,,,,,,,,,,,19790.79999999702,19790.39999999851,15999.9,15995.29999999702,16005.6,19800.8,
First Example,html.Page,6_1_0,2025-11-07T07:42:23.882Z,,,,,,f,,,283.9999999970205,,response,,,,,,,,,,keypress(f),,20085.29999999702,20084.79999999702,19795,19790.89999999851,19800.8,20093.3,
Inference Decision,html.Page,6_1_1_0_0,2025-11-07T07:42:24.073Z,,,,y,,y,y,true,182.70000000000073,,response,attraction_color.t3.combined.png,attraction_color.t8.combined.png,,,,,,,,keypress(j),1,20276.29999999702,20276,20084.122,20085.60000000149,20093.3,20280.8,
Confidence Check,html.Page,6_1_1_0_1,2025-11-07T07:42:24.097Z,,,,y,,f,,,19.300000001490844,,response,attraction_color.t3.combined.png,attraction_color.t8.combined.png,,,,,,,,keypress(f),1,20300.29999999702,20300.10000000149,20275.2,20276.39999999851,20280.8,20303.6,
Inference Sequence,flow.Sequence,6_1_1_0,2025-11-07T07:42:24.097Z,,,,y,,,,,206.80000000149084,,completion,attraction_color.t3.combined.png,attraction_color.t8.combined.png,,,,,,,,,1,20300.39999999851,20300.10000000149,20084.122,20085.60000000149,20093.3,20303.6,
Inference Decision,html.Page,6_1_1_1_0,2025-11-07T07:42:24.353Z,,,,n,,n,n,true,252.40000000000146,,response,attraction_gravity.t1.combined.png,attraction_gravity.t2.combined.png,,,,,,,,keypress(f),2,20556.39999999851,20556,20298.2,20300.39999999851,20303.6,20560.9,
Confidence Check,html.Page,6_1_1_1_1,2025-11-07T07:42:24.370Z,,,,n,,j,,,12.299999995528196,,response,attraction_gravity.t1.combined.png,attraction_gravity.t2.combined.png,,,,,,,,keypress(j),2,20573.5,20573.19999999553,20555.4,20556.5,20560.9,20583.9,
Inference Sequence,flow.Sequence,6_1_1_1,2025-11-07T07:42:24.370Z,,,,n,,,,,269.5999999955311,,completion,attraction_gravity.t1.combined.png,attraction_gravity.t2.combined.png,,,,,,,,,2,20573.5,20573.19999999553,20298.2,20300.39999999851,20303.6,20583.9,
Inference Decision,html.Page,6_1_1_2_0,2025-11-07T07:42:24.599Z,,,,y,,n,y,false,217.7999999955282,,response,attraction_gravity.t10.combined.png,attraction_gravity.t12.combined.png,,,,,,,,keypress(f),3,20802.29999999702,20801.69999999553,20578.3,20573.5,20583.9,20806.9,
Confidence Check,html.Page,6_1_1_2_1,2025-11-07T07:42:24.612Z,,,,y,,j,,,8.200000001488661,,response,attraction_gravity.t10.combined.png,attraction_gravity.t12.combined.png,,,,,,,,keypress(j),3,20815.60000000149,20815.10000000149,20801.2,20802.39999999851,20806.9,20818.1,
Inference Sequence,flow.Sequence,6_1_1_2,2025-11-07T07:42:24.612Z,,,,y,,,,,231.20000000148866,,completion,attraction_gravity.t10.combined.png,attraction_gravity.t12.combined.png,,,,,,,,,3,20815.69999999553,20815.10000000149,20578.3,20573.5,20583.9,20818.1,
Inference Decision,html.Page,6_1_1_3_0,2025-11-07T07:42:24.826Z,,,,n,,y,n,false,211.0999999955311,,response,attraction_color.t10.combined.png,attraction_color.t2.combined.png,,,,,,,,keypress(j),4,21029.79999999702,21029.19999999553,20812.6,20815.79999999702,20818.1,21035.6,
Confidence Check,html.Page,6_1_1_3_1,2025-11-07T07:42:24.838Z,,,,n,,f,,,5.199999997021223,,response,attraction_color.t10.combined.png,attraction_color.t2.combined.png,,,,,,,,keypress(f),4,21041.29999999702,21040.79999999702,21029.7,21030,21035.6,21046.7,
Inference Sequence,flow.Sequence,6_1_1_3,2025-11-07T07:42:24.838Z,,,,n,,,,,222.69999999702122,,completion,attraction_color.t10.combined.png,attraction_color.t2.combined.png,,,,,,,,,4,21041.39999999851,21040.79999999702,20812.6,20815.79999999702,20818.1,21046.7,
Inference Block,flow.Loop,6_1_1,2025-11-07T07:42:24.838Z,,,,,,,,,947.4999999970205,,completion,,,,,,,,,,,,21041.5,21040.79999999702,20084.122,20085.5,20093.3,21046.7,
Rule Reminder,html.Page,6_1_2,2025-11-07T07:42:25.092Z,,,,,,f,,false,248.29999999999927,,response,,,,,,,,,,keypress(f),,21295.19999999553,21295,21041,21041.5,21046.7,21298.2,
Application Decision,html.Page,6_1_3_0_0,2025-11-07T07:42:25.320Z,,,,y,,y,y,true,224.19999999850916,,response,attraction_color.t13.combined.png,attraction_color.t10.combined.png,,,,,,,,keypress(j),10,21523.19999999553,21522.39999999851,21292.7,21295.29999999702,21298.2,21526.9,
Confidence Check,html.Page,6_1_3_0_1,2025-11-07T07:42:25.344Z,,,,y,,f,,,20.70000000148866,,response,attraction_color.t13.combined.png,attraction_color.t10.combined.png,,,,,,,,keypress(f),10,21547.89999999851,21547.60000000149,21521.2,21523.29999999702,21526.9,21549.6,
Application Sequence,flow.Sequence,6_1_3_0,2025-11-07T07:42:25.344Z,,,,y,,,,,249.4000000014894,,completion,attraction_color.t13.combined.png,attraction_color.t10.combined.png,,,,,,,,,10,21547.89999999851,21547.60000000149,21292.7,21295.29999999702,21298.2,21549.6,
Application Decision,html.Page,6_1_3_1_0,2025-11-07T07:42:25.590Z,,,,n,,y,n,false,243.0999999955311,,response,attraction_gravity.t10.combined.png,attraction_gravity.t15.combined.png,,,,,,,,keypress(j),8,21793.39999999851,21792.69999999553,21543.9,21547.89999999851,21549.6,21795.8,
Confidence Check,html.Page,6_1_3_1_1,2025-11-07T07:42:25.597Z,,,,n,,f,,,4.399999995530379,,response,attraction_gravity.t10.combined.png,attraction_gravity.t15.combined.png,,,,,,,,keypress(f),8,21800.39999999851,21800.19999999553,21789.7,21793.5,21795.8,21806.9,
Application Sequence,flow.Sequence,6_1_3_1,2025-11-07T07:42:25.597Z,,,,n,,,,,250.5999999955311,,completion,attraction_gravity.t10.combined.png,attraction_gravity.t15.combined.png,,,,,,,,,8,21800.5,21800.19999999553,21543.9,21547.89999999851,21549.6,21806.9,
Application Decision,html.Page,6_1_3_2_0,2025-11-07T07:42:25.846Z,,,,n,,n,n,true,241.59999999999854,,response,attraction_size.t6.combined.png,attraction_size.t4.combined.png,,,,,,,,keypress(f),9,22049.19999999553,22048.5,21801.2,21800.60000000149,21806.9,22052.9,
Confidence Check,html.Page,6_1_3_2_1,2025-11-07T07:42:25.847Z,,,,n,,j,,,NaN,,response,attraction_size.t6.combined.png,attraction_size.t4.combined.png,,,,,,,,keypress(j),9,22050.69999999553,22049.39999999851,,22049.5,,22052.9,
Application Sequence,flow.Sequence,6_1_3_2,2025-11-07T07:42:25.847Z,,,,n,,,,,242.49999999850843,,completion,attraction_size.t6.combined.png,attraction_size.t4.combined.png,,,,,,,,,9,22050.79999999702,22049.39999999851,21801.2,21800.60000000149,21806.9,22052.9,
Application Decision,html.Page,6_1_3_3_0,2025-11-07T07:42:26.105Z,,,,y,,n,y,false,255.3999999970183,,response,attraction_color.t6.combined.png,attraction_color.t20.combined.png,,,,,,,,keypress(f),7,22308.69999999553,22308.29999999702,22046.9,22050.89999999851,22052.9,22316.5,
Confidence Check,html.Page,6_1_3_3_1,2025-11-07T07:42:26.105Z,,,,y,,j,,,NaN,,response,attraction_color.t6.combined.png,attraction_color.t20.combined.png,,,,,,,,keypress(j),7,22309,22308.39999999851,,22308.69999999553,,22316.5,
Application Sequence,flow.Sequence,6_1_3_3,2025-11-07T07:42:26.105Z,,,,y,,,,,255.49999999850843,,completion,attraction_color.t6.combined.png,attraction_color.t20.combined.png,,,,,,,,,7,22309,22308.39999999851,22046.9,22050.89999999851,22052.9,22316.5,
Application Decision,html.Page,6_1_3_4_0,2025-11-07T07:42:26.368Z,,,,y,,n,y,false,254.79999999701977,,response,attraction_color.t4.combined.png,attraction_color.t9.combined.png,,,,,,,,keypress(f),6,22571.79999999702,22571.29999999702,22308.39,22309,22316.5,22579.4,
Confidence Check,html.Page,6_1_3_4_1,2025-11-07T07:42:26.384Z,,,,y,,j,,,7.599999999998545,,response,attraction_color.t4.combined.png,attraction_color.t9.combined.png,,,,,,,,keypress(j),6,22587.5,22587,22567.1,22571.89999999851,22579.4,22590.1,
Application Sequence,flow.Sequence,6_1_3_4,2025-11-07T07:42:26.384Z,,,,y,,,,,270.5,,completion,attraction_color.t4.combined.png,attraction_color.t9.combined.png,,,,,,,,,6,22587.60000000149,22587,22308.39,22309,22316.5,22590.1,
Application Block,flow.Loop,6_1_3,2025-11-07T07:42:26.384Z,,,,,,,,,1288.7999999999993,,completion,,,,,,,,,,,,22587.60000000149,22587,21292.7,21295.29999999702,21298.2,22590.1,
Attraction Sequence,flow.Sequence,6_1,2025-11-07T07:42:26.384Z,,,,,,,,,2786.2000000000007,,completion,,,,,,,,,,,,22587.60000000149,22587,19795,19790.89999999851,19800.8,22590.1,
First Example,html.Page,6_2_0,2025-11-07T07:42:26.625Z,,,,,,f,,,238.00000000149157,,response,,,,,,,,,,keypress(f),,22828.69999999553,22828.10000000149,22584.4,22587.60000000149,22590.1,22836.3,
Inference Decision,html.Page,6_2_1_0_0,2025-11-07T07:42:26.652Z,,,,y,,y,y,true,18.59999999851061,,response,occlusion_reversal.t3.combined.png,occlusion_reversal.t4.combined.png,,,,,,,,keypress(j),11,22855.10000000149,22854.89999999851,22824.1,22828.89999999851,22836.3,22864.2,
Confidence Check,html.Page,6_2_1_0_1,2025-11-07T07:42:26.777Z,,,,y,,d,,,115.69999999850916,,response,occlusion_reversal.t3.combined.png,occlusion_reversal.t4.combined.png,,,,,,,,keypress(d),11,22980.5,22979.89999999851,22858.7,22855.10000000149,22864.2,22984.6,
