anon_id,sender,sender_id,block_type,task_id,super_rule,sub_rule,response,correct,difficulty,duration,timestamp
t1,Confidence Check,6_0_3_2_1,application,7,expansion,plus_step,Very Sure,,1,27.200000002980232,2025-11-21T10:33:17.134Z
t1,Application Decision,6_0_3_3_0,application,8,expansion,star_full,Same,True,1,1380.0000000059665,2025-11-21T10:33:18.521Z
t1,Confidence Check,6_0_3_3_1,application,8,expansion,star_full,Very Sure,,1,75.00000000298314,2025-11-21T10:33:18.632Z
t1,Application Decision,6_0_3_4_0,application,9,expansion,diagonal_full,Different,True,3,982.5,2025-11-21T10:33:19.626Z
t1,Confidence Check,6_0_3_4_1,application,9,expansion,diagonal_full,Very Sure,,3,101.90000000297732,2025-11-21T10:33:19.743Z
t1,Score,6_0_4,,,,,skip,,,1259.9000000059605,2025-11-21T10:33:21.018Z
t1,First Example,6_1_0,,,,,skip,,,6702.300000000003,2025-11-21T10:33:27.729Z
t1,Inference Decision,6_1_1_0_0,inference,10,attraction,color,Same,True,2,1347.0000000014843,2025-11-21T10:33:29.088Z
t1,Confidence Check,6_1_1_0_1,inference,10,attraction,color,Very Sure,,2,205.70000000298023,2025-11-21T10:33:29.317Z
t1,Inference Decision,6_1_1_1_0,inference,11,attraction,size,Different,True,3,1556.3000000059546,2025-11-21T10:33:30.880Z
t1,Confidence Check,6_1_1_1_1,inference,11,attraction,size,Very Sure,,3,185.00000000596629,2025-11-21T10:33:31.077Z
t1,Inference Decision,6_1_1_2_0,inference,12,attraction,gravity,Different,True,1,717.400000001493,2025-11-21T10:33:31.826Z
t1,Confidence Check,6_1_1_2_1,inference,12,attraction,gravity,Very Sure,,1,156.8000000014872,2025-11-21T10:33:31.998Z
t1,Inference Decision,6_1_1_3_0,inference,13,attraction,gravity,Same,True,1,1206.3000000059546,2025-11-21T10:33:33.231Z
t1,Confidence Check,6_1_1_3_1,inference,13,attraction,gravity,Very Sure,,1,173.39999999999418,2025-11-21T10:33:33.417Z
t1,Inference Decision,6_1_1_4_0,inference,14,attraction,color,Different,True,2,1175.3999999999942,2025-11-21T10:33:34.600Z
t1,Confidence Check,6_1_1_4_1,inference,14,attraction,color,Very Sure,,2,136.80000000298605,2025-11-21T10:33:34.744Z
t1,Rule Reminder,6_1_2,,,,,skip,,,990.5000000044674,2025-11-21T10:33:35.748Z
t1,Application Decision,6_1_3_0_0,application,15,attraction,color,Same,True,2,1558.0,2025-11-21T10:33:37.315Z
t1,Confidence Check,6_1_3_0_1,application,15,attraction,color,Very Sure,,2,177.60000000595755,2025-11-21T10:33:37.518Z
t1,Application Decision,6_1_3_1_0,application,16,attraction,color,Same,True,2,1499.699999999997,2025-11-21T10:33:39.041Z
t1,Confidence Check,6_1_3_1_1,application,16,attraction,color,Very Sure,,2,178.80000000298605,2025-11-21T10:33:39.236Z
t1,Application Decision,6_1_3_2_0,application,17,attraction,gravity,Different,True,1,738.2000000059634,2025-11-21T10:33:39.979Z
t1,Confidence Check,6_1_3_2_1,application,17,attraction,gravity,Very Sure,,1,242.90000000149303,2025-11-21T10:33:40.233Z
t1,Application Decision,6_1_3_3_0,application,18,attraction,size,Different,True,3,1088.7000000059634,2025-11-21T10:33:41.329Z
t1,Confidence Check,6_1_3_3_1,application,18,attraction,size,Very Sure,,3,188.6000000044733,2025-11-21T10:33:41.530Z
t1,Application Decision,6_1_3_4_0,application,19,attraction,color,Same,True,2,1015.5000000059664,2025-11-21T10:33:42.576Z
t1,Confidence Check,6_1_3_4_1,application,19,attraction,color,Very Sure,,2,191.6000000029744,2025-11-21T10:33:42.785Z
t1,Score,6_1_4,,,,,skip,,,681.9000000044762,2025-11-21T10:33:43.493Z
t1,First Example,6_2_0,,,,,skip,,,3675.60000000149,2025-11-21T10:33:47.188Z
t1,Inference Decision,6_2_1_0_0,inference,20,occlusion,reversal,Same,True,2,1536.3000000059546,2025-11-21T10:33:48.745Z
t1,Confidence Check,6_2_1_0_1,inference,20,occlusion,reversal,Very Sure,,2,220.70000000149597,2025-11-21T10:33:48.978Z
t1,Inference Decision,6_2_1_1_0,inference,21,occlusion,reversal,Same,True,2,2254.500000004482,2025-11-21T10:33:51.245Z
t1,Confidence Check,6_2_1_1_1,inference,21,occlusion,reversal,Very Sure,,2,144.30000000298605,2025-11-21T10:33:51.401Z
t1,Inference Decision,6_2_1_2_0,inference,22,occlusion,mirror_x,Different,True,2,3324.7000000044645,2025-11-21T10:33:54.732Z
t1,Confidence Check,6_2_1_2_1,inference,22,occlusion,mirror_x,Very Sure,,2,154.30000000298605,2025-11-21T10:33:54.895Z
t1,Inference Decision,6_2_1_3_0,inference,23,occlusion,reversal,Same,False,3,3801.900000004476,2025-11-21T10:33:58.711Z
t1,Confidence Check,6_2_1_3_1,inference,23,occlusion,reversal,Very Sure,,3,117.00000000596629,2025-11-21T10:33:58.841Z
t1,Inference Decision,6_2_1_4_0,inference,24,occlusion,reversal,Different,True,2,1718.2000000059488,2025-11-21T10:34:00.578Z
t1,Confidence Check,6_2_1_4_1,inference,24,occlusion,reversal,Very Sure,,2,215.500000004482,2025-11-21T10:34:00.810Z
t1,Rule Reminder,6_2_2,,,,,skip,,,989.7000000044644,2025-11-21T10:34:01.814Z
t1,Application Decision,6_2_3_0_0,application,25,occlusion,reversal,Same,True,2,1681.3000000044703,2025-11-21T10:34:03.508Z
t1,Confidence Check,6_2_3_0_1,application,25,occlusion,reversal,Very Sure,,2,116.70000000594882,2025-11-21T10:34:03.643Z
t1,Application Decision,6_2_3_1_0,application,26,occlusion,mirror_y,Different,True,1,1115.4000000014785,2025-11-21T10:34:04.774Z
t1,Confidence Check,6_2_3_1_1,application,26,occlusion,mirror_y,Very Sure,,1,124.00000000596629,2025-11-21T10:34:04.916Z
t1,Application Decision,6_2_3_2_0,application,27,occlusion,reversal,Same,True,2,809.8000000044703,2025-11-21T10:34:05.734Z
t1,Confidence Check,6_2_3_2_1,application,27,occlusion,reversal,Very Sure,,2,97.89999999999418,2025-11-21T10:34:05.838Z
t1,Application Decision,6_2_3_3_0,application,28,occlusion,rotate_180,Different,True,3,1061.7000000059488,2025-11-21T10:34:06.919Z
t1,Confidence Check,6_2_3_3_1,application,28,occlusion,rotate_180,Very Sure,,3,212.500000004482,2025-11-21T10:34:07.136Z
t1,Application Decision,6_2_3_4_0,application,29,occlusion,reversal,Same,True,2,985.5000000029686,2025-11-21T10:34:08.148Z
t1,Confidence Check,6_2_3_4_1,application,29,occlusion,reversal,Very Sure,,2,127.5000000029686,2025-11-21T10:34:08.285Z
t1,Score,6_2_4,,,,,skip,,,3087.8000000044703,2025-11-21T10:34:11.379Z
t1,First Example,6_3_0,,,,,skip,,,8601.700000004465,2025-11-21T10:34:19.995Z
t1,Inference Decision,6_3_1_0_0,inference,30,arithmetic,majority,Same,True,1,1568.9000000059605,2025-11-21T10:34:21.578Z
t1,Confidence Check,6_3_1_0_1,inference,30,arithmetic,majority,Very Sure,,1,192.500000004482,2025-11-21T10:34:21.786Z
t1,Inference Decision,6_3_1_1_0,inference,31,arithmetic,majority,Same,True,2,4818.299999999988,2025-11-21T10:34:26.631Z
t1,Confidence Check,6_3_1_1_1,inference,31,arithmetic,majority,Very Sure,,2,94.0000000029686,2025-11-21T10:34:26.734Z
t1,Inference Decision,6_3_1_2_0,inference,32,arithmetic,inversion,Different,True,1,1690.6000000044587,2025-11-21T10:34:28.431Z
t1,Confidence Check,6_3_1_2_1,inference,32,arithmetic,inversion,Very Sure,,1,192.30000000298605,2025-11-21T10:34:28.633Z
t1,Inference Decision,6_3_1_3_0,inference,33,arithmetic,inversion,Same,True,1,2385.70000000298,2025-11-21T10:34:31.045Z
t1,Confidence Check,6_3_1_3_1,inference,33,arithmetic,inversion,Very Sure,,1,131.79999999998836,2025-11-21T10:34:31.193Z
t1,Inference Decision,6_3_1_4_0,inference,34,arithmetic,minority,Different,True,3,2383.700000005949,2025-11-21T10:34:33.595Z
t1,Confidence Check,6_3_1_4_1,inference,34,arithmetic,minority,Very Sure,,3,77.40000000299187,2025-11-21T10:34:33.688Z
t1,Rule Reminder,6_3_2,,,,,skip,,,758.7999999999884,2025-11-21T10:34:34.469Z
t1,Application Decision,6_3_3_0_0,application,35,arithmetic,minority,Different,True,2,5317.800000001502,2025-11-21T10:34:39.827Z
t1,Confidence Check,6_3_3_0_1,application,35,arithmetic,minority,Very Sure,,2,267.5000000014843,2025-11-21T10:34:40.108Z
t1,Application Decision,6_3_3_1_0,application,36,arithmetic,majority,Same,True,1,1213.4000000059605,2025-11-21T10:34:41.337Z
t1,Confidence Check,6_3_3_1_1,application,36,arithmetic,majority,Very Sure,,1,104.80000000447036,2025-11-21T10:34:41.479Z
t1,Application Decision,6_3_3_2_0,application,37,arithmetic,majority,Same,True,3,18961.200000004465,2025-11-21T10:35:00.451Z
t1,Confidence Check,6_3_3_2_1,application,37,arithmetic,majority,Very Sure,,3,185.80000000298605,2025-11-21T10:35:00.642Z
t1,Application Decision,6_3_3_3_0,application,38,arithmetic,majority,Same,True,1,4172.600000002974,2025-11-21T10:35:04.829Z
t1,Confidence Check,6_3_3_3_1,application,38,arithmetic,majority,Very Sure,,1,121.20000000149594,2025-11-21T10:35:04.960Z
t1,Application Decision,6_3_3_4_0,application,39,arithmetic,inversion,Different,True,1,1601.7999999999884,2025-11-21T10:35:06.575Z
t1,Confidence Check,6_3_3_4_1,application,39,arithmetic,inversion,Very Sure,,1,217.40000000447617,2025-11-21T10:35:06.808Z
t1,Score,6_3_4,,,,,skip,,,1243.0000000029686,2025-11-21T10:35:08.066Z
t2,First Example,4_0_0,,,,,skip,,,6974.399999988076,2025-11-21T10:53:59.924Z
t2,Inference Decision,4_0_1_0_0,practice,p1,,,Same,False,,3635.599999988081,2025-11-21T10:54:03.577Z
t2,Inference Decision,4_0_1_1_0,practice,p2,,,Different,False,,4011.2999999940366,2025-11-21T10:54:08.604Z
t2,Inference Decision,4_0_1_2_0,practice,p3,,,Same,False,,2415.300000000003,2025-11-21T10:54:12.032Z
t2,Rule Reminder,4_0_2,,,,,skip,,,2092.6999999940454,2025-11-21T10:54:15.133Z
t2,Application Decision,4_0_3_0_0,practice,p6,,,Different,False,,1687.0999999880733,2025-11-21T10:54:16.827Z
t2,Application Decision,4_0_3_1_0,practice,p4,,,Different,False,,73.89999998807616,2025-11-21T10:54:17.905Z
t2,Application Decision,4_0_3_2_0,practice,p5,,,Different,True,,84.59999998807325,2025-11-21T10:54:18.997Z
t2,First Example,4_2_0,,,,,skip,,,50272.30000001192,2025-11-21T10:55:12.005Z
t2,Inference Decision,4_2_1_0_0,practice,p1,,,Different,True,,1540.8999999940424,2025-11-21T10:55:13.553Z
t2,Inference Decision,4_2_1_1_0,practice,p2,,,Same,True,,250.9999999940337,2025-11-21T10:55:14.810Z
t2,Inference Decision,4_2_1_2_0,practice,p3,,,Different,True,,258.5000000059663,2025-11-21T10:55:16.075Z
t2,Rule Reminder,4_2_2,,,,,skip,,,4404.999999994034,2025-11-21T10:55:21.494Z
t2,Application Decision,4_2_3_0_0,practice,p4,,,Same,True,,1659.8000000059546,2025-11-21T10:55:23.170Z
t2,Application Decision,4_2_3_1_0,practice,p6,,,Same,True,,1826.600000005972,2025-11-21T10:55:26.010Z
t2,Application Decision,4_2_3_2_0,practice,p5,,,Different,True,,1876.699999988079,2025-11-21T10:55:28.898Z
t2,First Example,6_0_0,,,,,skip,,,4425.500000011933,2025-11-21T10:55:37.995Z
t2,Inference Decision,6_0_1_0_0,inference,0,expansion,star_step,Different,True,1,3739.700000005949,2025-11-21T10:55:41.741Z
t2,Confidence Check,6_0_1_0_1,inference,0,expansion,star_step,Unsure,,1,6779.100000011909,2025-11-21T10:55:48.529Z
t2,Inference Decision,6_0_1_1_0,inference,1,expansion,star_step,Different,False,1,5271.0,2025-11-21T10:55:53.816Z
t2,Confidence Check,6_0_1_1_1,inference,1,expansion,star_step,Sure,,1,2145.9999999940337,2025-11-21T10:55:55.971Z
t2,Inference Decision,6_0_1_2_0,inference,2,expansion,plus_full,Different,True,1,1745.5999999880733,2025-11-21T10:55:57.724Z
t2,Confidence Check,6_0_1_2_1,inference,2,expansion,plus_full,Sure,,1,562.3000000119209,2025-11-21T10:55:58.300Z
t2,Inference Decision,6_0_1_3_0,inference,3,expansion,plus_full,Different,False,1,2664.4000000059605,2025-11-21T10:56:00.979Z
t2,Confidence Check,6_0_1_3_1,inference,3,expansion,plus_full,Very Sure,,1,865.8000000059546,2025-11-21T10:56:01.861Z
t2,Inference Decision,6_0_1_4_0,inference,4,expansion,plus_full,Different,False,1,1620.4999999880674,2025-11-21T10:56:03.499Z
t2,Confidence Check,6_0_1_4_1,inference,4,expansion,plus_full,Sure,,1,442.5999999880733,2025-11-21T10:56:03.964Z
t2,Rule Reminder,6_0_2,,,,,skip,,,26431.499999988067,2025-11-21T10:56:30.413Z
t2,Application Decision,6_0_3_0_0,application,5,expansion,star_step,Same,True,1,3279.9000000119267,2025-11-21T10:56:33.703Z
t2,Confidence Check,6_0_3_0_1,application,5,expansion,star_step,Very Sure,,1,1167.9000000119267,2025-11-21T10:56:34.879Z
t2,Application Decision,6_0_3_1_0,application,6,expansion,diagonal_full,Different,True,3,2635.299999994051,2025-11-21T10:56:37.522Z
t2,Confidence Check,6_0_3_1_1,application,6,expansion,diagonal_full,Sure,,3,1909.299999988085,2025-11-21T10:56:39.440Z
t2,Application Decision,6_0_3_2_0,application,7,expansion,plus_step,Different,True,1,2744.700000011915,2025-11-21T10:56:42.193Z
t2,Confidence Check,6_0_3_2_1,application,7,expansion,plus_step,Very Sure,,1,1135.4000000059605,2025-11-21T10:56:43.336Z
t2,Application Decision,6_0_3_3_0,application,8,expansion,star_full,Same,True,1,3986.0,2025-11-21T10:56:47.331Z
t2,Confidence Check,6_0_3_3_1,application,8,expansion,star_full,Very Sure,,1,7928.599999988073,2025-11-21T10:56:55.268Z
t2,Application Decision,6_0_3_4_0,application,9,expansion,diagonal_full,Same,False,3,4839.500000005966,2025-11-21T10:57:00.117Z
t2,Confidence Check,6_0_3_4_1,application,9,expansion,diagonal_full,Very Sure,,3,435.7000000000117,2025-11-21T10:57:00.562Z
t2,Score,6_0_4,,,,,skip,,,584530.1000000059,2025-11-21T11:06:45.102Z
t2,First Example,6_1_0,,,,,skip,,,3698.800000005984,2025-11-21T11:06:48.810Z
t2,Inference Decision,6_1_1_0_0,inference,10,attraction,color,Different,False,2,2713.0999999940395,2025-11-21T11:06:51.534Z
t2,Confidence Check,6_1_1_0_1,inference,10,attraction,color,Sure,,2,1931.200000006007,2025-11-21T11:06:53.471Z
t2,Inference Decision,6_1_1_1_0,inference,11,attraction,size,Different,True,3,2636.699999999953,2025-11-21T11:06:56.112Z
t2,Confidence Check,6_1_1_1_1,inference,11,attraction,size,Unsure,,3,1936.9999999940628,2025-11-21T11:06:58.053Z
t2,Inference Decision,6_1_1_2_0,inference,12,attraction,gravity,Different,True,1,1865.0999999999767,2025-11-21T11:06:59.926Z
t2,Confidence Check,6_1_1_2_1,inference,12,attraction,gravity,Sure,,1,465.0000000059372,2025-11-21T11:07:00.394Z
t2,Inference Decision,6_1_1_3_0,inference,13,attraction,gravity,Different,False,1,2448.5999999881024,2025-11-21T11:07:02.846Z
t2,Confidence Check,6_1_1_3_1,inference,13,attraction,gravity,Sure,,1,555.6000000119675,2025-11-21T11:07:03.410Z
t2,Inference Decision,6_1_1_4_0,inference,14,attraction,color,Different,True,2,2246.4999999881256,2025-11-21T11:07:05.667Z
t2,Confidence Check,6_1_1_4_1,inference,14,attraction,color,Unsure,,2,1155.0,2025-11-21T11:07:06.833Z
t2,Rule Reminder,6_1_2,,,,,skip,,,10877.999999988126,2025-11-21T11:07:17.716Z
t2,Application Decision,6_1_3_0_0,application,15,attraction,color,Same,True,2,4196.200000011944,2025-11-21T11:07:21.921Z
t2,Confidence Check,6_1_3_0_1,application,15,attraction,color,Very Sure,,2,463.5000000059372,2025-11-21T11:07:22.394Z
t2,Application Decision,6_1_3_1_0,application,16,attraction,color,Same,True,2,3306.9000000118976,2025-11-21T11:07:25.710Z
t2,Confidence Check,6_1_3_1_1,application,16,attraction,color,Very Sure,,2,245.7999999880558,2025-11-21T11:07:25.960Z
t2,Application Decision,6_1_3_2_0,application,17,attraction,gravity,Different,True,1,1304.3000000059835,2025-11-21T11:07:27.267Z
t2,Confidence Check,6_1_3_2_1,application,17,attraction,gravity,Sure,,1,538.8999999880325,2025-11-21T11:07:27.814Z
t2,Application Decision,6_1_3_3_0,application,18,attraction,size,Different,True,3,2663.200000011944,2025-11-21T11:07:30.488Z
t2,Confidence Check,6_1_3_3_1,application,18,attraction,size,Sure,,3,513.2999999880558,2025-11-21T11:07:31.009Z
t2,Application Decision,6_1_3_4_0,application,19,attraction,color,Same,True,2,2849.299999993993,2025-11-21T11:07:33.862Z
t2,Confidence Check,6_1_3_4_1,application,19,attraction,color,Very Sure,,2,322.49999998812564,2025-11-21T11:07:34.191Z
t2,Score,6_1_4,,,,,skip,,,2536.0999999999767,2025-11-21T11:07:36.731Z
t2,First Example,6_2_0,,,,,skip,,,4514.5,2025-11-21T11:07:41.254Z
t2,Inference Decision,6_2_1_0_0,inference,20,occlusion,reversal,Same,True,2,3509.9000000118976,2025-11-21T11:07:44.767Z
t2,Confidence Check,6_2_1_0_1,inference,20,occlusion,reversal,Very Sure,,2,247.6000000119675,2025-11-21T11:07:45.024Z
t2,Inference Decision,6_2_1_1_0,inference,21,occlusion,reversal,Same,True,2,14118.399999994086,2025-11-21T11:07:59.151Z
t2,Confidence Check,6_2_1_1_1,inference,21,occlusion,reversal,Sure,,2,396.8999999940861,2025-11-21T11:07:59.551Z
t2,Inference Decision,6_2_1_2_0,inference,22,occlusion,mirror_x,Different,True,2,1640.4000000000233,2025-11-21T11:08:01.199Z
t2,Confidence Check,6_2_1_2_1,inference,22,occlusion,mirror_x,Very Sure,,2,683.8999999880325,2025-11-21T11:08:01.889Z
t2,Inference Decision,6_2_1_3_0,inference,23,occlusion,reversal,Different,True,3,1743.799999993993,2025-11-21T11:08:03.636Z
t2,Confidence Check,6_2_1_3_1,inference,23,occlusion,reversal,Very Sure,,3,259.5000000059372,2025-11-21T11:08:03.901Z
t2,Inference Decision,6_2_1_4_0,inference,24,occlusion,reversal,Same,False,2,2749.1000000119675,2025-11-21T11:08:06.658Z
t2,Confidence Check,6_2_1_4_1,inference,24,occlusion,reversal,Very Sure,,2,383.0000000059372,2025-11-21T11:08:07.050Z
t2,Rule Reminder,6_2_2,,,,,skip,,,5095.700000006007,2025-11-21T11:08:12.157Z
t2,Application Decision,6_2_3_0_0,application,25,occlusion,reversal,Same,True,2,2526.1999999940163,2025-11-21T11:08:14.693Z
t2,Confidence Check,6_2_3_0_1,application,25,occlusion,reversal,Very Sure,,2,268.8999999880325,2025-11-21T11:08:14.968Z
t2,Application Decision,6_2_3_1_0,application,26,occlusion,mirror_y,Different,True,1,1388.7999999880558,2025-11-21T11:08:16.365Z
t2,Confidence Check,6_2_3_1_1,application,26,occlusion,mirror_y,Very Sure,,1,628.299999993993,2025-11-21T11:08:16.997Z
t2,Application Decision,6_2_3_2_0,application,27,occlusion,reversal,Same,True,2,1835.5999999999767,2025-11-21T11:08:18.836Z
t2,Confidence Check,6_2_3_2_1,application,27,occlusion,reversal,Very Sure,,2,421.8999999940861,2025-11-21T11:08:19.262Z
t2,Application Decision,6_2_3_3_0,application,28,occlusion,rotate_180,Same,False,3,2916.3000000000466,2025-11-21T11:08:22.181Z
t2,Confidence Check,6_2_3_3_1,application,28,occlusion,rotate_180,Very Sure,,3,307.69999998807907,2025-11-21T11:08:22.497Z
t2,Application Decision,6_2_3_4_0,application,29,occlusion,reversal,Same,True,2,2686.9000000000237,2025-11-21T11:08:25.192Z
t2,Confidence Check,6_2_3_4_1,application,29,occlusion,reversal,Very Sure,,2,394.5000000118744,2025-11-21T11:08:25.593Z
t2,Score,6_2_4,,,,,skip,,,982500.599999988,2025-11-21T11:24:48.107Z
t2,First Example,6_3_0,,,,,skip,,,4372.300000005867,2025-11-21T11:24:52.488Z
t2,Inference Decision,6_3_1_0_0,inference,30,arithmetic,majority,Different,False,1,2733.200000006007,2025-11-21T11:24:55.229Z
t2,Confidence Check,6_3_1_0_1,inference,30,arithmetic,majority,Unsure,,1,808.3000000058673,2025-11-21T11:24:56.052Z
t2,Inference Decision,6_3_1_1_0,inference,31,arithmetic,majority,Different,False,2,1405.3999999880325,2025-11-21T11:24:57.460Z
t2,Confidence Check,6_3_1_1_1,inference,31,arithmetic,majority,Unsure,,2,1098.699999994133,2025-11-21T11:24:58.570Z
t2,Inference Decision,6_3_1_2_0,inference,32,arithmetic,inversion,Different,True,1,911.899999994086,2025-11-21T11:24:59.491Z
t2,Confidence Check,6_3_1_2_1,inference,32,arithmetic,inversion,Very Unsure,,1,374.30000000004657,2025-11-21T11:24:59.872Z
t2,Inference Decision,6_3_1_3_0,inference,33,arithmetic,inversion,Different,False,1,1287.6000000000931,2025-11-21T11:25:01.164Z
t2,Confidence Check,6_3_1_3_1,inference,33,arithmetic,inversion,Very Unsure,,1,255.6000000119675,2025-11-21T11:25:01.425Z
t2,Inference Decision,6_3_1_4_0,inference,34,arithmetic,minority,Different,True,3,1185.300000011921,2025-11-21T11:25:02.615Z
t2,Confidence Check,6_3_1_4_1,inference,34,arithmetic,minority,Very Unsure,,3,366.0000000060536,2025-11-21T11:25:02.988Z
t2,Rule Reminder,6_3_2,,,,,skip,,,8263.700000006007,2025-11-21T11:25:11.256Z
t2,Application Decision,6_3_3_0_0,application,35,arithmetic,minority,Different,True,2,1879.100000000093,2025-11-21T11:25:13.147Z
t2,Confidence Check,6_3_3_0_1,application,35,arithmetic,minority,Very Unsure,,2,1142.6000000000931,2025-11-21T11:25:14.295Z
t2,Application Decision,6_3_3_1_0,application,36,arithmetic,majority,Different,False,1,2437.899999999907,2025-11-21T11:25:16.739Z
t2,Confidence Check,6_3_3_1_1,application,36,arithmetic,majority,Very Unsure,,1,389.90000000596046,2025-11-21T11:25:17.136Z
t2,Application Decision,6_3_3_2_0,application,37,arithmetic,majority,Different,False,3,1431.4000000059605,2025-11-21T11:25:18.575Z
t2,Confidence Check,6_3_3_2_1,application,37,arithmetic,majority,Very Unsure,,3,242.7000000118278,2025-11-21T11:25:18.826Z
t2,Application Decision,6_3_3_3_0,application,38,arithmetic,majority,Same,True,1,2739.299999988172,2025-11-21T11:25:21.572Z
t2,Confidence Check,6_3_3_3_1,application,38,arithmetic,majority,Very Unsure,,1,966.5000000060536,2025-11-21T11:25:22.542Z
t2,Application Decision,6_3_3_4_0,application,39,arithmetic,inversion,Different,True,1,949.8999999999068,2025-11-21T11:25:23.503Z
t2,Confidence Check,6_3_3_4_1,application,39,arithmetic,inversion,Very Unsure,,1,233.0000000060536,2025-11-21T11:25:23.744Z
t2,Score,6_3_4,,,,,skip,,,5892.800000000047,2025-11-21T11:25:29.646Z
t3,First Example,4_0_0,,,,,skip,,,14906.169999999807,2025-11-21T10:53:37.777Z
t3,Inference Decision,4_0_1_0_0,practice,p1,,,Different,True,,10023.10000000018,2025-11-21T10:53:47.810Z
t3,Inference Decision,4_0_1_1_0,practice,p2,,,Different,False,,14097.80000000057,2025-11-21T10:54:02.918Z
t3,Inference Decision,4_0_1_2_0,practice,p3,,,Different,True,,14178.19999999908,2025-11-21T10:54:18.116Z
t3,Rule Reminder,4_0_2,,,,,skip,,,6699.400000000547,2025-11-21T10:54:25.820Z
t3,Application Decision,4_0_3_0_0,practice,p5,,,Different,True,,9896.80000000057,2025-11-21T10:54:35.734Z
t3,Application Decision,4_0_3_1_0,practice,p6,,,Different,False,,13981.700000000186,2025-11-21T10:54:50.719Z
t3,Application Decision,4_0_3_2_0,practice,p4,,,Same,True,,6125.599999999453,2025-11-21T10:54:57.863Z
t3,First Example,4_2_0,,,,,skip,,,7116.19999999943,2025-11-21T10:55:10.037Z
t3,Inference Decision,4_2_1_0_0,practice,p1,,,Different,True,,2788.9999999998254,2025-11-21T10:55:12.843Z
t3,Inference Decision,4_2_1_1_0,practice,p2,,,Same,True,,3660.099999999453,2025-11-21T10:55:17.515Z
t3,Inference Decision,4_2_1_2_0,practice,p3,,,Same,False,,2263.999999999447,2025-11-21T10:55:20.785Z
t3,Rule Reminder,4_2_2,,,,,skip,,,1378.6000000005588,2025-11-21T10:55:23.199Z
t3,Application Decision,4_2_3_0_0,practice,p4,,,Same,True,,5141.500000000553,2025-11-21T10:55:28.346Z
t3,Application Decision,4_2_3_1_0,practice,p5,,,Different,True,,3230.1999999994296,2025-11-21T10:55:32.584Z
